id_biblioteca,nombre_biblioteca,id_depto,año_fundacion,dominio_email
3730,Bib. Pop. Madre Teresa,6427,1998.0,
3913,Bib.Pop. Trabajadores del Yaguané,6427,1999.0,
4041,Bib. Pop. Virrey del Pino,6427,1999.0,yahoo
2585,Bib.Pop. Florentino Ameghino,6441,1936.0,yahoo
3736,Bib.Pop. José Hernández,6441,1997.0,
165,Bib.Pop. Florentino Ameghino,6441,1918.0,yahoo
1483,Bib.Pop. Bernardino Rivadavia,6441,1915.0,
1747,Bib.Pop. Dr. Nicolás Avellaneda,6441,1927.0,
1830,Bib.Pop. Joaquín V. González,6441,1903.0,
1973,Bib. Euforión,6441,1927.0,
2069,Bib.Pop.Gral. San Martín,6441,1936.0,hotmail
2098,Cen. de Fom. M. V y Bib.Pub.Pop. Enrique Gonino,6441,1929.0,hotmail
2127,Bib.Pop. Luis A. Repetto,6441,1941.0,gmail
2323,Bib. Pop. Florentino Ameghino,6441,1945.0,hotmail
2436,"Bib.Pop. Juan Vucetich, C.C. Y Dep. Aconcagua",6441,1944.0,gmail
2498,Bib.Pop. Mario L. Sureda,6441,1947.0,
2546,Bib.Pop. Mariano Moreno,6441,1939.0,
2644,Bib.Pop. Dardo Rocha,6441,1954.0,
2757,Bib.Pop. Bernardo de Monteagudo,6441,1940.0,
3313,Bib.Pub. Central Gral. José de San Martín,6441,1950.0,
3681,Bib.Pop. E. S. Discépolo para la Cult.Nac.,6441,1980.0,
3717,Bib. Pop. Homero Manzi,6441,1980.0,gmail
3786,Bib.Pop. Instituto Platense de Cult. Hispánica,6441,1960.0,
3877,Asoc.Cult.Bib.Pop. Vida y Lucha de Elizalde,6441,1993.0,yahoo
3954,Casa del Tango y Bib.Pop. Carlos Gardel,6441,1980.0,hotmail
4140,Cen. y Bib.Pop. Carlos Bormida,6441,2001.0,yahoo
4171,Cent.Cu. Y Bib.Pop. Enlazando palabras,6441,1980.0,hotmail
4288,Bib.Pop. Del otro lado del árbol,6441,2011.0,hotmail
4376,Bib.Pop. La Chicharra,6441,2007.0,gmail
2271,Bib.Pop.Bartolomé Mitre,6441,1933.0,yahoo
3211,Bib.Pop. Dr. Roman S. Harosteguy,6441,1980.0,yahoo
3956,Com.Vec.y Bib.Pop. Gonnet Bell,6441,1995.0,
1920,Bib. Pop. Mariano Moreno,6441,1936.0,hotmail
2438,Bib.Pop. D.F.Sarmiento,6441,1923.0,
4066,Bib. Pop. Tupac Amaru infantil y juvenil,6441,1999.0,yahoo
249,Bib.Pop. Alejo Iglesias,6441,1920.0,
4117,Cen. y Bib.Pop. Osvaldo Pugliese,6434,1999.0,
150,Bib.Pop. Libertador San Martín,6434,1917.0,
2713,Bib. Pp. Soc. Bomberos Voluntarios de Lanús,6434,1945.0,
3448,Bib.Pop.Mun. Mariano Moreno,6434,1994.0,
4021,Bib.Pop. Olga Cossettini,6434,2001.0,
3431,Bib.Pop. Florentino Ameghino,6434,1980.0,hotmail
3649,Bib.Pop. Mariano Moreno,6434,1997.0,
4135,Bib.Pop. Monte Chingolo,6434,1980.0,gmail
2676,Bib.Pop. Alberdi,6434,1919.0,gmail
2767,Bib.Pop. Dr. E. Angel Barriocanal,6434,1955.0,yahoo
3828,Bib. Pop. Juan B. Justo,6434,1930.0,hotmail
294,Bib.Pop.y Soc.Fom. D.F.Sarmiento,6434,1918.0,yahoo
1706,Bib.Pop. 1 de Mayo,6434,1914.0,hotmail
2134,Bib.Pop. Laprida,6448,1940.0,yahoo
1326,Bib.Pop. 25 de Mayo,6455,1928.0,
87,Bib.Pop. D.F.Sarmiento,6462,1916.0,live
3153,Bib.Pop. Mariano Moreno,6462,1988.0,hotmail
2872,Bib.Pop.Mun. Esteban Echeverría,6462,1961.0,yahoo
2366,Bib.Pop. José M. Estrada,6469,1945.0,
1684,Bib.Pop. Bartolomé Mitre,6469,1932.0,hotmail
2729,Bib. Pop. D. F. Sarmiento,6469,1958.0,yahoo
3442,Bib.Pop. Fortín de la Cult. El triunfo,6469,1980.0,
3946,Asoc.Bib.Pop.Mun. Jullian de Castiglioni,6469,1980.0,
177,Bib.Pop.Mun. D.F.Sarmiento,6469,,hotmail
279,Bib.Pop. D.F.Sarmiento,6476,1918.0,
1232,Bib.Pop. José Ingenieros,6469,1926.0,
3622,Bib.Pop. San Manuel,6476,1993.0,gmail
122,Bib.Pop. Rivadavia,6483,1920.0,
175,Bib.Pop. D.F.Sarmiento,6483,1912.0,yahoo
1193,Bib.Pop. Albino Capponi,6483,1902.0,yahoo
3796,Bib.Pop. Héroes de Malvinas,6483,1980.0,
3865,Bib.Pop. Alfonsina Storni,6490,1980.0,
3149,Bib.Pop.Soc.Fom. Roberto Arlt,6490,1980.0,
3979,Bib. Pop. Leopoldo Marechal,6490,1980.0,
4196,Bib.Pop. Escritores Argentinos,6490,1980.0,yahoo
173,Bib. Pop. Antonio Mentruyt,6490,1900.0,gmail
3404,Bib.Pop.E Inst.Cult. Juan María Gutierrez,6490,1938.0,
4115,Bib.Pop. Julio Cortázar de Lomas Este,6490,2002.0,yahoo
4121,Bib.Pop. de la ciudad,6490,2003.0,gmail
2401,Bib.Pop. Vicente Longhi,6490,1980.0,hotmail
3754,Bib.Pop. San José,6490,1980.0,yahoo
3823,Bib.Pop. Tito Brandsma,6490,1980.0,
4008,Bib.Pop. San Juan,6490,2000.0,hotmail
4340,Bib.Pop. de Carlos Keen,6497,2001.0,gmail
168,Bib. Pop.  Ameghino,6497,1914.0,gmail
3182,Bib. Obrera Jean Jaures,6497,1918.0,
3656,Bib.Pop. Ernesto Sábato,6497,1996.0,
1257,Bib.Pop. Juan Bautista Alberdi,6497,1926.0,hotmail
4219,Bib.Pop. Edmundo Girardengo,6505,2008.0,gmail
3351,Bib.Pop.Mun. Juan José Elizondo,6511,1966.0,
2931,Bib.Pop. William C.Morris,6515,1975.0,yahoo
4262,Bib. Pop. El Cruce de Papel,6515,2007.0,
3668,Bib.Pop. Pablo Nogués,6515,1998.0,hotmail
3785,Bib.Pop. de los Polvorines,6515,1998.0,gmail
4151,La esperanza del Callao y Biblioteca Popular,6515,1980.0,
4241,Bib.Pop. José Ma. Viglietti,6518,1977.0,yahoo
1998,Bib.Pop. Gral. San Martín,6525,1936.0,gmail
194,Bib.Pop. D.F.Sarmiento,6532,,hotmail
3243,Bib.Pop. Malvinas argentinas,6028,1986.0,
3303,Bib.Pop. Perito Moreno,6539,1991.0,
4199,Bib.Pop. Manuel Galvez,6539,1980.0,
3949,Bib.Pop. Génesis,6539,1980.0,
3999,Bib. Pop. Ricardo Guiraldes,6539,2000.0,bibliotecaguiraldes
3805,Asociación Cooperadora de la Biblioteca José Manuel Estrada de Abbott,6547,1980.0,
2662,Bib.Pop.Mun. Manuel Belgrano,6547,1950.0,hotmail
3315,Bib.Pop. Monte Hermoso,6553,1980.0,
4139,Bib.Pop. Vicky,6560,2000.0,
2673,Bib.Pop. Vicenta Castro Cambón,6560,1954.0,live
3944,Bib.Pop.Casa.Cult. Barrio Parque San Carlos,6560,2000.0,
4336,Bib.Pop. Almafuerte de Barrio Guemes,6560,2008.0,gmail
3886,Asoc.Civ.Bib.Pop. El Cobijo,6560,2000.0,
4134,Bib. Pop. San José Obrero,6560,1980.0,gmail
2243,Bib.Pop. Mariano Moreno,6560,1916.0,cbmm
3248,Bib.Pop. Horacio Quiroga,6560,1980.0,hotmail
4003,Bib.Pop. El centro y los chicos,6560,1980.0,
2804,Bib.Pop. Ciudad de Paso del Rey,6560,1958.0,hotmail
4106,Sociedad de fomento San Pedro y Biblioteca Popular OLEGARIO VICTOR ANDRADE,6560,1958.0,
1391,Bib.Pop. 9 de Julio,6560,1929.0,
2324,Bib.Pop. Juan Manuel Giufra,6560,1945.0,hotmail
4040,Bib. Pop. Arturo Jauretche de El Palomar,6560,2001.0,yahoo
3049,Bib.Pop.Pub. Rosario Vera Peñaloza,6560,1971.0,
4274,Bib.Pop. Parlante Sur,6560,1999.0,hotmail
3012,Bib.Pop. José Hernández,6568,1964.0,
3901,Asoc.y Bib.Pop. Juan Salvador Gaviota,6568,1997.0,hotmail
3885,Bib. Pop. y Ctro. Cult. Almafuerte,6574,1980.0,yahoo
